timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092049.9487548,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092049.9987597,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.0492823,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.0998008,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.1505823,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.2008536,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.2512968,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.3013208,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.352187,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.4025283,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.4531431,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.5037415,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.5546596,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.6046646,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.654784,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.7047942,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.7549293,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.8050826,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.8556166,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.9056268,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092050.9561455,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.006158,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.0566728,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.1066833,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.1572075,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.20722,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.2578337,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.3085504,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.3595078,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.4099877,"-97.0,0.0,0.0","-89.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.4608235,"-97.0,0.0,0.0","-89.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.5112598,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.5617616,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.6122968,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.6622982,"-96.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.7128239,"-96.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.763821,"-96.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.8147514,"-96.0,0.0,0.0","-85.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.8647535,"-95.0,0.0,0.0","-84.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.9148,"-95.0,0.0,0.0","-84.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092051.9657993,"-95.0,0.0,0.0","-85.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.0163236,"-97.0,0.0,0.0","-86.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.0663245,"-97.0,0.0,0.0","-86.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.1168585,"-96.0,0.0,0.0","-85.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.166954,"-96.0,0.0,0.0","-85.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.2184896,"-97.0,0.0,0.0","-86.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.2694848,"-97.0,0.0,0.0","-86.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.319531,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.3695314,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.4198012,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.4707968,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.5213225,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.5713432,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.628025,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.6782713,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.7288058,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.7795117,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.8295457,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.8804588,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.9309807,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092052.9815397,"-97.0,0.0,0.0","-87.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.032354,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.0829108,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.1336308,"-97.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.1845717,"-100.0,0.0,0.0","-92.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.234698,"-101.0,0.0,0.0","-95.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.284711,"-102.0,0.0,0.0","-98.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.3352664,"-102.0,0.0,0.0","-101.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.3852718,"-102.0,0.0,0.0","-101.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.4357884,"-101.0,0.0,0.0","-101.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.4867866,"-101.0,0.0,0.0","-101.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.5371134,"-93.0,0.0,0.0","-100.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.5881116,"-88.0,0.0,0.0","-96.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.6386323,"-82.0,0.0,0.0","-90.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.688636,"-78.0,0.0,0.0","-88.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.739163,"-74.0,0.0,0.0","-85.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.789178,"-58.0,0.0,0.0","-71.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.8392148,"-47.0,0.0,0.0","-58.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.8902078,"-43.0,0.0,0.0","-53.0,0.0,0.0","-24.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.9407265,"-37.0,0.0,0.0","-45.0,0.0,0.0","-24.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092053.9907303,"-29.0,0.0,0.0","-35.0,0.0,0.0","-24.0,0.0,0.0","-3.0,0.0,0.0","0,0,0"
1747092054.041118,"-24.0,0.0,0.0","-27.0,0.0,0.0","-24.0,0.0,0.0","2.0,0.0,0.0","0,0,0"
1747092054.0921223,"-20.0,0.0,0.0","-21.0,0.0,0.0","-24.0,0.0,0.0","10.0,0.0,0.0","0,0,0"
1747092054.142648,"-14.0,0.0,0.0","-13.0,0.0,0.0","-24.0,0.0,0.0","18.0,0.0,0.0","0,0,0"
1747092054.1926556,"-14.0,0.0,0.0","-13.0,0.0,0.0","-24.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.2431865,"-14.0,0.0,0.0","-13.0,0.0,0.0","-24.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092054.2931912,"-13.0,0.0,0.0","-13.0,0.0,0.0","-10.0,0.0,0.0","22.0,0.0,0.0","0,0,0"
1747092054.3432214,"-12.0,0.0,0.0","-13.0,0.0,0.0","-10.0,0.0,0.0","23.0,0.0,0.0","0,0,0"
1747092054.3952136,"-12.0,0.0,0.0","-13.0,0.0,0.0","-10.0,0.0,0.0","23.0,0.0,0.0","0,0,0"
1747092054.4457529,"-12.0,0.0,0.0","-14.0,0.0,0.0","-9.0,0.0,0.0","23.0,0.0,0.0","0,0,0"
1747092054.4967506,"-12.0,0.0,0.0","-14.0,0.0,0.0","-9.0,0.0,0.0","22.0,0.0,0.0","0,0,0"
1747092054.5469368,"-12.0,0.0,0.0","-16.0,0.0,0.0","-9.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092054.5979364,"-12.0,0.0,0.0","-16.0,0.0,0.0","-8.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092054.6479745,"-12.0,0.0,0.0","-16.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.697988,"-12.0,0.0,0.0","-16.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.7482996,"-12.0,0.0,0.0","-16.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.7988229,"-12.0,0.0,0.0","-16.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.849351,"-12.0,0.0,0.0","-15.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.8993623,"-12.0,0.0,0.0","-14.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.9494014,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092054.9994075,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.049935,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.0999486,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.1499963,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.2000048,"-12.0,0.0,0.0","-13.0,0.0,0.0","-8.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.250056,"-12.0,0.0,0.0","-13.0,0.0,0.0","-9.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.3005238,"-12.0,0.0,0.0","-13.0,0.0,0.0","-9.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092055.3510416,"-12.0,0.0,0.0","-13.0,0.0,0.0","-9.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.4010553,"-12.0,0.0,0.0","-13.0,0.0,0.0","-9.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.4515815,"-12.0,0.0,0.0","-13.0,0.0,0.0","-10.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.501593,"-12.0,0.0,0.0","-12.0,0.0,0.0","-10.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.552112,"-12.0,0.0,0.0","-12.0,0.0,0.0","-11.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.602115,"-12.0,0.0,0.0","-12.0,0.0,0.0","-11.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.652639,"-12.0,0.0,0.0","-12.0,0.0,0.0","-11.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.7026393,"-12.0,0.0,0.0","-12.0,0.0,0.0","-11.0,0.0,0.0","20.0,0.0,0.0","0,0,0"
1747092055.753157,"-12.0,0.0,0.0","-11.0,0.0,0.0","-11.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092055.803691,"-12.0,0.0,0.0","-11.0,0.0,0.0","-12.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092055.8542068,"-12.0,0.0,0.0","-11.0,0.0,0.0","-12.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092055.9042132,"-12.0,0.0,0.0","-11.0,0.0,0.0","-12.0,0.0,0.0","21.0,0.0,0.0","0,0,0"
1747092055.9547381,"-12.0,0.0,0.0","-11.0,0.0,0.0","-12.0,0.0,0.0","22.0,0.0,0.0","0,0,0"
1747092056.005269,"-12.0,0.0,0.0","-10.0,0.0,0.0","-11.0,0.0,0.0","22.0,0.0,0.0","0,0,0"
1747092056.0556018,"-11.0,0.0,0.0","-10.0,0.0,0.0","-11.0,0.0,0.0","22.0,0.0,0.0","0,0,0"
1747092056.1056128,"-11.0,0.0,0.0","-9.0,0.0,0.0","-11.0,0.0,0.0","24.0,0.0,0.0","0,0,0"
1747092056.1561296,"-10.0,0.0,0.0","-7.0,0.0,0.0","-10.0,0.0,0.0","27.0,0.0,0.0","0,0,0"
1747092056.206139,"-9.0,0.0,0.0","-5.0,0.0,0.0","-9.0,0.0,0.0","31.0,0.0,0.0","0,0,0"
1747092056.2566538,"-9.0,0.0,0.0","-3.0,0.0,0.0","-9.0,0.0,0.0","33.0,0.0,0.0","0,0,0"
1747092056.307186,"-6.0,0.0,0.0","0.0,0.0,0.0","-7.0,0.0,0.0","35.0,0.0,0.0","0,0,0"
1747092056.3577006,"-2.0,0.0,0.0","7.0,0.0,0.0","-6.0,0.0,0.0","37.0,0.0,0.0","0,0,0"
1747092056.4077163,"3.0,0.0,0.0","13.0,0.0,0.0","1.0,0.0,0.0","41.0,0.0,0.0","0,0,0"
1747092056.4583492,"8.0,0.0,0.0","21.0,0.0,0.0","5.0,0.0,0.0","43.0,0.0,0.0","0,0,0"
1747092056.508361,"12.0,0.0,0.0","27.0,0.0,0.0","10.0,0.0,0.0","47.0,0.0,0.0","0,0,0"
1747092056.5588875,"17.0,0.0,0.0","36.0,0.0,0.0","15.0,0.0,0.0","51.0,0.0,0.0","0,0,0"
1747092056.6088955,"21.0,0.0,0.0","41.0,0.0,0.0","20.0,0.0,0.0","53.0,0.0,0.0","0,0,0"
1747092056.6594784,"29.0,0.0,0.0","54.0,0.0,0.0","30.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.7096825,"34.0,0.0,0.0","60.0,0.0,0.0","37.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.7596877,"49.0,0.0,0.0","47.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.8101516,"53.0,0.0,0.0","53.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.8608754,"55.0,0.0,0.0","54.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.9118505,"57.0,0.0,0.0","56.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092056.9624512,"66.0,0.0,0.0","65.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.0130472,"68.0,0.0,0.0","69.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.0648174,"74.0,0.0,0.0","71.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.1150002,"77.0,0.0,0.0","74.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
1747092057.1655843,"80.0,0.0,0.0","76.0,0.0,0.0","0.0,0.0,0.0","0.0,0.0,0.0","0,0,0"
