timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow,chest
1747092048.0878778,"980.47,163.57,0.24,0.37,1.04,-1.04,-50.10,-23.40,34.20,0.72,0.14,-0.68,0.03","885.99,-345.70,-168.70,-1.89,1.16,2.01,-45.00,-40.65,-4.65,0.62,-0.44,-0.62,-0.16","989.50,-128.66,-118.16,-2.07,-0.24,0.98,-20.55,4.05,-26.10,0.39,-0.66,-0.36,-0.54","873.53,-459.96,250.24,0.37,0.49,0.55,-17.70,-33.90,-46.20,0.65,-0.54,-0.28,-0.45","-101.56,901.86,-351.56,-0.18,-0.24,-0.12,9.00,-1.05,-13.20,0.24,0.27,0.78,0.51"
1747092048.1386647,"973.88,155.52,-4.64,0.43,1.10,-0.98,-50.55,-22.20,32.25,0.72,0.14,-0.68,0.02","889.16,-365.48,-162.60,-1.52,1.22,1.83,-46.20,-40.80,-2.70,0.62,-0.44,-0.62,-0.16","982.91,-129.64,-117.19,-1.46,0.49,1.22,-18.15,3.00,-27.30,0.39,-0.66,-0.36,-0.54","867.19,-453.86,247.80,0.24,0.12,0.61,-16.65,-35.85,-44.85,0.65,-0.54,-0.28,-0.45","-101.32,897.71,-354.74,-0.55,-0.43,0.18,8.25,-2.70,-12.45,0.24,0.27,0.78,0.51"
1747092048.1893086,"972.17,167.97,-6.84,-0.92,0.73,-0.18,-49.95,-22.50,33.60,0.72,0.14,-0.68,0.02","882.08,-346.92,-163.57,-1.58,0.98,1.71,-45.75,-40.20,-2.25,0.62,-0.44,-0.62,-0.16","986.33,-126.47,-113.53,-2.56,0.73,1.04,-20.55,4.35,-27.60,0.39,-0.66,-0.36,-0.54","861.08,-460.94,252.93,1.04,0.37,0.61,-16.80,-34.50,-46.65,0.65,-0.54,-0.28,-0.45","-105.71,900.39,-350.10,-0.43,-1.10,0.24,7.50,-1.50,-13.20,0.24,0.27,0.78,0.51"
1747092048.239915,"981.45,151.61,-3.17,-0.61,0.49,-0.61,-50.10,-24.30,33.45,0.72,0.14,-0.68,0.02","888.18,-346.68,-162.84,-1.40,2.07,2.01,-47.55,-40.95,-3.60,0.62,-0.44,-0.62,-0.16","990.97,-125.98,-114.50,-2.99,0.37,0.12,-21.90,2.70,-27.00,0.39,-0.66,-0.36,-0.54","865.48,-462.40,249.27,-0.12,0.85,1.16,-17.70,-34.35,-43.80,0.65,-0.54,-0.28,-0.45","-100.34,897.22,-363.04,-0.12,-1.10,0.37,8.10,-1.65,-11.55,0.24,0.27,0.78,0.51"
1747092048.289924,"986.82,163.82,-5.13,1.10,0.92,-0.43,-49.50,-22.95,34.05,0.72,0.14,-0.68,0.02","892.82,-354.98,-161.62,-2.74,2.01,2.44,-48.00,-42.30,-4.20,0.62,-0.44,-0.62,-0.16","990.72,-129.88,-119.14,-1.52,0.67,1.04,-21.30,3.15,-26.10,0.39,-0.66,-0.36,-0.54","871.09,-461.18,245.36,0.24,0.92,0.79,-17.10,-34.20,-45.00,0.65,-0.54,-0.28,-0.45","-103.52,897.46,-362.31,0.67,-1.40,0.24,8.10,-1.35,-12.00,0.24,0.27,0.78,0.51"
1747092048.339954,"976.32,164.06,-2.69,-0.73,0.43,-1.10,-50.10,-23.10,33.45,0.72,0.14,-0.68,0.02","893.55,-343.51,-165.04,-1.65,1.71,1.71,-46.65,-40.35,-2.70,0.62,-0.44,-0.62,-0.16","985.35,-132.32,-117.19,-2.50,0.37,1.04,-21.90,2.25,-27.00,0.39,-0.66,-0.36,-0.54","868.65,-459.96,256.35,0.30,0.98,1.16,-17.55,-34.50,-46.05,0.65,-0.54,-0.28,-0.45","-107.67,905.27,-365.72,0.24,-0.73,0.06,9.75,-2.25,-11.85,0.24,0.27,0.78,0.51"
1747092048.3899539,"973.88,163.57,-11.23,0.43,0.85,-0.79,-50.40,-23.85,33.90,0.72,0.14,-0.68,0.02","888.18,-351.56,-169.92,-1.83,1.22,1.83,-47.10,-40.95,-4.95,0.62,-0.44,-0.62,-0.16","984.62,-127.20,-113.28,-2.01,0.18,1.10,-20.85,4.20,-26.25,0.39,-0.66,-0.36,-0.54","869.87,-448.49,248.05,0.00,0.37,0.43,-17.10,-33.75,-44.25,0.65,-0.54,-0.28,-0.45","-97.66,900.39,-364.75,0.49,-0.73,0.30,9.00,-2.70,-12.90,0.24,0.27,0.78,0.51"
1747092048.440479,"977.78,169.19,-5.62,0.30,0.67,-0.73,-50.55,-24.45,33.30,0.72,0.13,-0.68,0.02","891.36,-347.17,-163.33,-2.81,1.58,1.95,-46.05,-41.25,-5.70,0.62,-0.44,-0.62,-0.16","996.83,-131.59,-125.73,-2.50,-0.18,0.73,-22.35,3.45,-27.75,0.39,-0.66,-0.36,-0.54","865.97,-459.23,245.85,0.18,0.85,0.06,-16.80,-34.50,-45.30,0.65,-0.54,-0.28,-0.45","-104.74,901.61,-362.55,0.49,-1.04,0.12,8.85,-3.30,-11.25,0.24,0.27,0.78,0.51"
1747092048.4904807,"970.95,163.33,-4.64,-0.85,0.85,-0.43,-49.50,-23.25,32.70,0.72,0.13,-0.68,0.02","886.72,-355.96,-159.18,-2.38,1.77,1.52,-46.05,-41.25,-3.90,0.62,-0.44,-0.62,-0.16","979.25,-129.15,-128.66,-3.05,0.12,1.10,-21.30,2.85,-26.10,0.39,-0.66,-0.36,-0.54","859.62,-463.13,250.24,-0.24,0.73,-0.37,-17.40,-34.35,-45.15,0.65,-0.54,-0.28,-0.45","-102.78,898.19,-360.11,0.30,-1.04,0.12,8.55,-2.70,-12.45,0.24,0.27,0.78,0.51"
1747092048.5410078,"967.77,161.38,-3.91,-1.04,0.79,-0.55,-51.45,-22.35,33.15,0.72,0.13,-0.68,0.02","894.53,-348.14,-163.57,-2.38,1.58,1.52,-46.05,-40.65,-3.60,0.62,-0.44,-0.62,-0.16","982.91,-137.21,-121.58,-2.44,0.12,0.61,-20.40,4.50,-25.95,0.39,-0.66,-0.36,-0.54","866.94,-459.47,249.27,-0.24,1.16,0.00,-17.70,-34.65,-45.90,0.65,-0.54,-0.28,-0.45","-103.27,902.10,-367.92,0.55,-1.22,0.37,8.40,-2.40,-12.75,0.24,0.27,0.78,0.51"
