timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092136.4964628,"-84.0,0.0,0.0","41.0,0.0,0.0","0.0,0.0,0.0","12.0,0.0,0.0"
1747092136.5471146,"-85.0,0.0,0.0","41.0,0.0,0.0","1.0,0.0,0.0","15.0,0.0,0.0"
1747092136.5975273,"-86.0,0.0,0.0","40.0,0.0,0.0","0.0,0.0,0.0","18.0,0.0,0.0"
1747092136.6476357,"-85.0,0.0,0.0","40.0,0.0,0.0","1.0,0.0,0.0","18.0,0.0,0.0"
1747092136.6980174,"-85.0,0.0,0.0","39.0,0.0,0.0","1.0,0.0,0.0","17.0,0.0,0.0"
1747092136.7494817,"-84.0,0.0,0.0","37.0,0.0,0.0","3.0,0.0,0.0","17.0,0.0,0.0"
1747092136.8001995,"-83.0,0.0,0.0","36.0,0.0,0.0","6.0,0.0,0.0","16.0,0.0,0.0"
1747092136.8504956,"-77.0,0.0,0.0","28.0,0.0,0.0","8.0,0.0,0.0","16.0,0.0,0.0"
1747092136.9010856,"-70.0,0.0,0.0","19.0,0.0,0.0","7.0,0.0,0.0","16.0,0.0,0.0"
1747092136.951293,"-67.0,0.0,0.0","14.0,0.0,0.0","9.0,0.0,0.0","14.0,0.0,0.0"
1747092137.0018184,"-63.0,0.0,0.0","2.0,0.0,0.0","14.0,0.0,0.0","24.0,0.0,0.0"
1747092137.0523586,"-52.0,0.0,0.0","-10.0,0.0,0.0","12.0,0.0,0.0","20.0,0.0,0.0"
1747092137.1024556,"-40.0,0.0,0.0","-17.0,0.0,0.0","6.0,0.0,0.0","9.0,0.0,0.0"
1747092137.1528275,"-30.0,0.0,0.0","-26.0,0.0,0.0","0.0,0.0,0.0","9.0,0.0,0.0"
1747092137.2030656,"-19.0,0.0,0.0","-39.0,0.0,0.0","8.0,0.0,0.0","16.0,0.0,0.0"
1747092137.2540207,"-14.0,0.0,0.0","-43.0,0.0,0.0","8.0,0.0,0.0","17.0,0.0,0.0"
1747092137.3041677,"-11.0,0.0,0.0","-48.0,0.0,0.0","10.0,0.0,0.0","15.0,0.0,0.0"
1747092137.3542805,"0.0,0.0,0.0","-54.0,0.0,0.0","9.0,0.0,0.0","12.0,0.0,0.0"
1747092137.4044542,"7.0,0.0,0.0","-57.0,0.0,0.0","5.0,0.0,0.0","8.0,0.0,0.0"
1747092137.455147,"9.0,0.0,0.0","-62.0,0.0,0.0","10.0,0.0,0.0","11.0,0.0,0.0"
1747092137.5056581,"9.0,0.0,0.0","-63.0,0.0,0.0","12.0,0.0,0.0","10.0,0.0,0.0"
1747092137.5562558,"9.0,0.0,0.0","-64.0,0.0,0.0","14.0,0.0,0.0","9.0,0.0,0.0"
1747092137.606325,"9.0,0.0,0.0","-65.0,0.0,0.0","14.0,0.0,0.0","10.0,0.0,0.0"
1747092137.6563609,"9.0,0.0,0.0","-64.0,0.0,0.0","13.0,0.0,0.0","10.0,0.0,0.0"
1747092137.7212079,"8.0,0.0,0.0","-64.0,0.0,0.0","11.0,0.0,0.0","11.0,0.0,0.0"
1747092137.771515,"2.0,0.0,0.0","-59.0,0.0,0.0","12.0,0.0,0.0","16.0,0.0,0.0"
1747092137.8222222,"-1.0,0.0,0.0","-55.0,0.0,0.0","11.0,0.0,0.0","18.0,0.0,0.0"
1747092137.8730717,"-8.0,0.0,0.0","-49.0,0.0,0.0","10.0,0.0,0.0","23.0,0.0,0.0"
1747092137.923093,"-23.0,0.0,0.0","-27.0,0.0,0.0","7.0,0.0,0.0","17.0,0.0,0.0"
1747092137.9732573,"-28.0,0.0,0.0","-17.0,0.0,0.0","5.0,0.0,0.0","14.0,0.0,0.0"
1747092138.0238848,"-34.0,0.0,0.0","-13.0,0.0,0.0","5.0,0.0,0.0","18.0,0.0,0.0"
1747092138.0739682,"-43.0,0.0,0.0","0.0,0.0,0.0","7.0,0.0,0.0","23.0,0.0,0.0"
1747092138.1242468,"-48.0,0.0,0.0","12.0,0.0,0.0","8.0,0.0,0.0","14.0,0.0,0.0"
1747092138.1751523,"-56.0,0.0,0.0","19.0,0.0,0.0","9.0,0.0,0.0","18.0,0.0,0.0"
1747092138.2253046,"-59.0,0.0,0.0","22.0,0.0,0.0","9.0,0.0,0.0","18.0,0.0,0.0"
1747092138.2754314,"-63.0,0.0,0.0","26.0,0.0,0.0","8.0,0.0,0.0","18.0,0.0,0.0"
1747092138.3255663,"-66.0,0.0,0.0","29.0,0.0,0.0","7.0,0.0,0.0","18.0,0.0,0.0"
1747092138.3757558,"-66.0,0.0,0.0","30.0,0.0,0.0","8.0,0.0,0.0","17.0,0.0,0.0"
1747092138.4262428,"-66.0,0.0,0.0","30.0,0.0,0.0","8.0,0.0,0.0","17.0,0.0,0.0"
1747092138.4765644,"-65.0,0.0,0.0","28.0,0.0,0.0","10.0,0.0,0.0","16.0,0.0,0.0"
1747092138.5271568,"-65.0,0.0,0.0","27.0,0.0,0.0","10.0,0.0,0.0","15.0,0.0,0.0"
1747092138.577237,"-64.0,0.0,0.0","27.0,0.0,0.0","13.0,0.0,0.0","14.0,0.0,0.0"
1747092138.6277108,"-51.0,0.0,0.0","19.0,0.0,0.0","13.0,0.0,0.0","10.0,0.0,0.0"
1747092138.679332,"-46.0,0.0,0.0","9.0,0.0,0.0","11.0,0.0,0.0","16.0,0.0,0.0"
1747092138.7301364,"-40.0,0.0,0.0","0.0,0.0,0.0","6.0,0.0,0.0","25.0,0.0,0.0"
1747092138.7804532,"-28.0,0.0,0.0","-12.0,0.0,0.0","3.0,0.0,0.0","21.0,0.0,0.0"
1747092138.835272,"-22.0,0.0,0.0","-16.0,0.0,0.0","8.0,0.0,0.0","19.0,0.0,0.0"
1747092138.885341,"-7.0,0.0,0.0","-33.0,0.0,0.0","14.0,0.0,0.0","19.0,0.0,0.0"
1747092138.935638,"-1.0,0.0,0.0","-38.0,0.0,0.0","11.0,0.0,0.0","19.0,0.0,0.0"
1747092138.9862232,"2.0,0.0,0.0","-42.0,0.0,0.0","11.0,0.0,0.0","21.0,0.0,0.0"
1747092139.0367823,"11.0,0.0,0.0","-47.0,0.0,0.0","7.0,0.0,0.0","15.0,0.0,0.0"
1747092139.0873704,"11.0,0.0,0.0","-50.0,0.0,0.0","10.0,0.0,0.0","14.0,0.0,0.0"
1747092139.1380377,"12.0,0.0,0.0","-52.0,0.0,0.0","12.0,0.0,0.0","13.0,0.0,0.0"
1747092139.1886299,"11.0,0.0,0.0","-55.0,0.0,0.0","14.0,0.0,0.0","8.0,0.0,0.0"
1747092139.2386372,"10.0,0.0,0.0","-55.0,0.0,0.0","14.0,0.0,0.0","8.0,0.0,0.0"
1747092139.2894068,"10.0,0.0,0.0","-55.0,0.0,0.0","12.0,0.0,0.0","8.0,0.0,0.0"
1747092139.3412597,"8.0,0.0,0.0","-55.0,0.0,0.0","10.0,0.0,0.0","11.0,0.0,0.0"
1747092139.3919969,"8.0,0.0,0.0","-54.0,0.0,0.0","8.0,0.0,0.0","13.0,0.0,0.0"
1747092139.442625,"5.0,0.0,0.0","-53.0,0.0,0.0","5.0,0.0,0.0","13.0,0.0,0.0"
1747092139.4930327,"-7.0,0.0,0.0","-49.0,0.0,0.0","12.0,0.0,0.0","24.0,0.0,0.0"
1747092139.5437477,"-16.0,0.0,0.0","-40.0,0.0,0.0","12.0,0.0,0.0","25.0,0.0,0.0"
1747092139.5944655,"-21.0,0.0,0.0","-29.0,0.0,0.0","14.0,0.0,0.0","19.0,0.0,0.0"
1747092139.6453466,"-29.0,0.0,0.0","-16.0,0.0,0.0","5.0,0.0,0.0","19.0,0.0,0.0"
1747092139.695532,"-32.0,0.0,0.0","-13.0,0.0,0.0","4.0,0.0,0.0","21.0,0.0,0.0"
1747092139.745772,"-35.0,0.0,0.0","-10.0,0.0,0.0","5.0,0.0,0.0","26.0,0.0,0.0"
1747092139.796856,"-41.0,0.0,0.0","0.0,0.0,0.0","5.0,0.0,0.0","27.0,0.0,0.0"
1747092139.847187,"-42.0,0.0,0.0","0.0,0.0,0.0","4.0,0.0,0.0","26.0,0.0,0.0"
1747092139.8979998,"-43.0,0.0,0.0","0.0,0.0,0.0","4.0,0.0,0.0","28.0,0.0,0.0"
1747092139.9481125,"-43.0,0.0,0.0","0.0,0.0,0.0","5.0,0.0,0.0","28.0,0.0,0.0"
1747092139.9982994,"-42.0,0.0,0.0","0.0,0.0,0.0","6.0,0.0,0.0","28.0,0.0,0.0"
1747092140.048398,"-42.0,0.0,0.0","0.0,0.0,0.0","6.0,0.0,0.0","28.0,0.0,0.0"
1747092140.0985537,"-40.0,0.0,0.0","0.0,0.0,0.0","6.0,0.0,0.0","26.0,0.0,0.0"
1747092140.1492946,"-38.0,0.0,0.0","-1.0,0.0,0.0","7.0,0.0,0.0","26.0,0.0,0.0"
1747092140.1996417,"-36.0,0.0,0.0","-2.0,0.0,0.0","7.0,0.0,0.0","26.0,0.0,0.0"
1747092140.2511733,"-32.0,0.0,0.0","-3.0,0.0,0.0","4.0,0.0,0.0","27.0,0.0,0.0"
1747092140.3012018,"-31.0,0.0,0.0","-4.0,0.0,0.0","5.0,0.0,0.0","26.0,0.0,0.0"
1747092140.3514986,"-30.0,0.0,0.0","-7.0,0.0,0.0","5.0,0.0,0.0","24.0,0.0,0.0"
1747092140.40237,"-30.0,0.0,0.0","-11.0,0.0,0.0","3.0,0.0,0.0","19.0,0.0,0.0"
1747092140.453428,"-29.0,0.0,0.0","-12.0,0.0,0.0","0.0,0.0,0.0","14.0,0.0,0.0"
1747092140.5036514,"-29.0,0.0,0.0","-13.0,0.0,0.0","0.0,0.0,0.0","10.0,0.0,0.0"
1747092140.5538719,"-30.0,0.0,0.0","-16.0,0.0,0.0","-5.0,0.0,0.0","2.0,0.0,0.0"
1747092140.6039653,"-30.0,0.0,0.0","-17.0,0.0,0.0","-10.0,0.0,0.0","0.0,0.0,0.0"
1747092140.6543984,"-30.0,0.0,0.0","-18.0,0.0,0.0","-14.0,0.0,0.0","-6.0,0.0,0.0"
1747092140.7050211,"-30.0,0.0,0.0","-20.0,0.0,0.0","-25.0,0.0,0.0","-25.0,0.0,0.0"
1747092140.75566,"-31.0,0.0,0.0","-21.0,0.0,0.0","-29.0,0.0,0.0","-27.0,0.0,0.0"
1747092140.8062518,"-31.0,0.0,0.0","-24.0,0.0,0.0","-32.0,0.0,0.0","-31.0,0.0,0.0"
1747092140.8563752,"-32.0,0.0,0.0","-28.0,0.0,0.0","-40.0,0.0,0.0","-44.0,0.0,0.0"
1747092140.9073389,"-33.0,0.0,0.0","-30.0,0.0,0.0","-41.0,0.0,0.0","-46.0,0.0,0.0"
1747092140.9574335,"-35.0,0.0,0.0","-30.0,0.0,0.0","-43.0,0.0,0.0","-49.0,0.0,0.0"
1747092141.0074537,"-38.0,0.0,0.0","-32.0,0.0,0.0","-45.0,0.0,0.0","-53.0,0.0,0.0"
1747092141.0582583,"-39.0,0.0,0.0","-33.0,0.0,0.0","-44.0,0.0,0.0","-53.0,0.0,0.0"
1747092141.1082883,"-39.0,0.0,0.0","-34.0,0.0,0.0","-45.0,0.0,0.0","-54.0,0.0,0.0"
1747092141.1583595,"-40.0,0.0,0.0","-34.0,0.0,0.0","-45.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.209295,"-40.0,0.0,0.0","-33.0,0.0,0.0","-45.0,0.0,0.0","-59.0,0.0,0.0"
1747092141.2594748,"-40.0,0.0,0.0","-33.0,0.0,0.0","-45.0,0.0,0.0","-60.0,0.0,0.0"
1747092141.309971,"-40.0,0.0,0.0","-34.0,0.0,0.0","-46.0,0.0,0.0","-60.0,0.0,0.0"
1747092141.3605134,"-40.0,0.0,0.0","-34.0,0.0,0.0","-47.0,0.0,0.0","-60.0,0.0,0.0"
1747092141.4113696,"-40.0,0.0,0.0","-35.0,0.0,0.0","-47.0,0.0,0.0","-59.0,0.0,0.0"
1747092141.4616528,"-40.0,0.0,0.0","-37.0,0.0,0.0","-47.0,0.0,0.0","-58.0,0.0,0.0"
1747092141.512466,"-41.0,0.0,0.0","-37.0,0.0,0.0","-47.0,0.0,0.0","-58.0,0.0,0.0"
1747092141.5631142,"-40.0,0.0,0.0","-38.0,0.0,0.0","-47.0,0.0,0.0","-58.0,0.0,0.0"
1747092141.613316,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092141.66401,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.7149713,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.7651975,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.8154519,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.8656328,"-40.0,0.0,0.0","-38.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092141.9159873,"-40.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092141.9665372,"-40.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.0169864,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.0680664,"-40.0,0.0,0.0","-40.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.1190042,"-40.0,0.0,0.0","-40.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.169144,"-40.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.2192771,"-40.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.2701395,"-40.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-56.0,0.0,0.0"
1747092142.3201482,"-40.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.3710308,"-40.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.421328,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.4714756,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.522095,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.5721328,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.6234548,"-40.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.6740391,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.7241538,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.7742286,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.824252,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.875019,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.9256113,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092142.9760113,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092143.0270312,"-41.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092143.0776134,"-42.0,0.0,0.0","-39.0,0.0,0.0","-48.0,0.0,0.0","-57.0,0.0,0.0"
1747092143.1282794,"-42.0,0.0,0.0","-39.0,0.0,0.0","-49.0,0.0,0.0","-59.0,0.0,0.0"
1747092143.179222,"-42.0,0.0,0.0","-40.0,0.0,0.0","-50.0,0.0,0.0","-60.0,0.0,0.0"
1747092143.2293868,"-43.0,0.0,0.0","-40.0,0.0,0.0","-52.0,0.0,0.0","-62.0,0.0,0.0"
1747092143.2800524,"-45.0,0.0,0.0","-42.0,0.0,0.0","-55.0,0.0,0.0","-64.0,0.0,0.0"
1747092143.330198,"-46.0,0.0,0.0","-42.0,0.0,0.0","-55.0,0.0,0.0","-65.0,0.0,0.0"
1747092143.3810394,"-47.0,0.0,0.0","-43.0,0.0,0.0","-55.0,0.0,0.0","-66.0,0.0,0.0"
1747092143.431093,"-52.0,0.0,0.0","-44.0,0.0,0.0","-54.0,0.0,0.0","-69.0,0.0,0.0"
1747092143.4811172,"-54.0,0.0,0.0","-45.0,0.0,0.0","-53.0,0.0,0.0","-70.0,0.0,0.0"
1747092143.5312977,"-57.0,0.0,0.0","-47.0,0.0,0.0","-53.0,0.0,0.0","-68.0,0.0,0.0"
1747092143.581769,"-60.0,0.0,0.0","-50.0,0.0,0.0","-49.0,0.0,0.0","-66.0,0.0,0.0"
1747092143.6323712,"-61.0,0.0,0.0","-51.0,0.0,0.0","-47.0,0.0,0.0","-66.0,0.0,0.0"
1747092143.6829808,"-61.0,0.0,0.0","-51.0,0.0,0.0","-46.0,0.0,0.0","-65.0,0.0,0.0"
1747092143.7330914,"-62.0,0.0,0.0","-52.0,0.0,0.0","-45.0,0.0,0.0","-65.0,0.0,0.0"
1747092143.78399,"-62.0,0.0,0.0","-52.0,0.0,0.0","-45.0,0.0,0.0","-64.0,0.0,0.0"
1747092143.8344793,"-62.0,0.0,0.0","-53.0,0.0,0.0","-45.0,0.0,0.0","-64.0,0.0,0.0"
1747092143.8932102,"-62.0,0.0,0.0","-53.0,0.0,0.0","-44.0,0.0,0.0","-63.0,0.0,0.0"
1747092143.943353,"-62.0,0.0,0.0","-53.0,0.0,0.0","-45.0,0.0,0.0","-63.0,0.0,0.0"
1747092143.9934142,"-61.0,0.0,0.0","-53.0,0.0,0.0","-45.0,0.0,0.0","-63.0,0.0,0.0"
1747092144.0440931,"-61.0,0.0,0.0","-53.0,0.0,0.0","-46.0,0.0,0.0","-63.0,0.0,0.0"
1747092144.0956404,"-61.0,0.0,0.0","-53.0,0.0,0.0","-46.0,0.0,0.0","-63.0,0.0,0.0"
1747092144.146569,"-61.0,0.0,0.0","-53.0,0.0,0.0","-47.0,0.0,0.0","-63.0,0.0,0.0"
1747092144.197209,"-60.0,0.0,0.0","-52.0,0.0,0.0","-47.0,0.0,0.0","-64.0,0.0,0.0"
1747092144.247512,"-59.0,0.0,0.0","-51.0,0.0,0.0","-49.0,0.0,0.0","-64.0,0.0,0.0"
1747092144.2980428,"-57.0,0.0,0.0","-48.0,0.0,0.0","-49.0,0.0,0.0","-63.0,0.0,0.0"
1747092144.3491552,"-55.0,0.0,0.0","-47.0,0.0,0.0","-48.0,0.0,0.0","-61.0,0.0,0.0"
1747092144.400881,"-51.0,0.0,0.0","-46.0,0.0,0.0","-48.0,0.0,0.0","-56.0,0.0,0.0"
1747092144.4514394,"-50.0,0.0,0.0","-44.0,0.0,0.0","-45.0,0.0,0.0","-53.0,0.0,0.0"
1747092144.5015786,"-48.0,0.0,0.0","-42.0,0.0,0.0","-44.0,0.0,0.0","-49.0,0.0,0.0"
1747092144.552088,"-44.0,0.0,0.0","-40.0,0.0,0.0","-43.0,0.0,0.0","-45.0,0.0,0.0"
1747092144.602947,"-42.0,0.0,0.0","-36.0,0.0,0.0","-41.0,0.0,0.0","-44.0,0.0,0.0"
1747092144.6532083,"-39.0,0.0,0.0","-33.0,0.0,0.0","-42.0,0.0,0.0","-43.0,0.0,0.0"
1747092144.7040055,"-34.0,0.0,0.0","-24.0,0.0,0.0","-44.0,0.0,0.0","-47.0,0.0,0.0"
1747092144.7549264,"-31.0,0.0,0.0","-23.0,0.0,0.0","-45.0,0.0,0.0","-45.0,0.0,0.0"
1747092144.8057506,"-29.0,0.0,0.0","-22.0,0.0,0.0","-45.0,0.0,0.0","-43.0,0.0,0.0"
1747092144.8560028,"-25.0,0.0,0.0","-23.0,0.0,0.0","-44.0,0.0,0.0","-31.0,0.0,0.0"
1747092144.9067574,"-24.0,0.0,0.0","-23.0,0.0,0.0","-43.0,0.0,0.0","-28.0,0.0,0.0"
1747092144.9584017,"-24.0,0.0,0.0","-23.0,0.0,0.0","-43.0,0.0,0.0","-28.0,0.0,0.0"
1747092145.0091903,"-26.0,0.0,0.0","-24.0,0.0,0.0","-42.0,0.0,0.0","-26.0,0.0,0.0"
1747092145.0601282,"-26.0,0.0,0.0","-24.0,0.0,0.0","-41.0,0.0,0.0","-26.0,0.0,0.0"
1747092145.1109674,"-27.0,0.0,0.0","-25.0,0.0,0.0","-41.0,0.0,0.0","-26.0,0.0,0.0"
1747092145.1614203,"-27.0,0.0,0.0","-25.0,0.0,0.0","-42.0,0.0,0.0","-27.0,0.0,0.0"
1747092145.212127,"-28.0,0.0,0.0","-26.0,0.0,0.0","-41.0,0.0,0.0","-27.0,0.0,0.0"
1747092145.2628093,"-29.0,0.0,0.0","-26.0,0.0,0.0","-41.0,0.0,0.0","-27.0,0.0,0.0"
1747092145.3136036,"-31.0,0.0,0.0","-28.0,0.0,0.0","-41.0,0.0,0.0","-29.0,0.0,0.0"
1747092145.363935,"-31.0,0.0,0.0","-28.0,0.0,0.0","-41.0,0.0,0.0","-30.0,0.0,0.0"
1747092145.4143577,"-32.0,0.0,0.0","-29.0,0.0,0.0","-41.0,0.0,0.0","-30.0,0.0,0.0"
1747092145.4643793,"-33.0,0.0,0.0","-29.0,0.0,0.0","-40.0,0.0,0.0","-29.0,0.0,0.0"
1747092145.5149684,"-33.0,0.0,0.0","-29.0,0.0,0.0","-40.0,0.0,0.0","-28.0,0.0,0.0"
1747092145.5676253,"-35.0,0.0,0.0","-30.0,0.0,0.0","-35.0,0.0,0.0","-25.0,0.0,0.0"
1747092145.617797,"-37.0,0.0,0.0","-32.0,0.0,0.0","-27.0,0.0,0.0","-14.0,0.0,0.0"
1747092145.6691084,"-37.0,0.0,0.0","-33.0,0.0,0.0","-23.0,0.0,0.0","-6.0,0.0,0.0"
1747092145.72018,"-37.0,0.0,0.0","-34.0,0.0,0.0","-18.0,0.0,0.0","0.0,0.0,0.0"
1747092145.7703884,"-39.0,0.0,0.0","-34.0,0.0,0.0","-10.0,0.0,0.0","11.0,0.0,0.0"
1747092145.8213637,"-38.0,0.0,0.0","-33.0,0.0,0.0","-6.0,0.0,0.0","15.0,0.0,0.0"
1747092145.8720095,"-37.0,0.0,0.0","-28.0,0.0,0.0","2.0,0.0,0.0","26.0,0.0,0.0"
1747092145.922711,"-36.0,0.0,0.0","-21.0,0.0,0.0","7.0,0.0,0.0","23.0,0.0,0.0"
1747092145.973386,"-34.0,0.0,0.0","-17.0,0.0,0.0","10.0,0.0,0.0","19.0,0.0,0.0"
1747092146.0235643,"-30.0,0.0,0.0","-11.0,0.0,0.0","17.0,0.0,0.0","14.0,0.0,0.0"
1747092146.074855,"-28.0,0.0,0.0","-9.0,0.0,0.0","18.0,0.0,0.0","15.0,0.0,0.0"
1747092146.1250904,"-25.0,0.0,0.0","-7.0,0.0,0.0","16.0,0.0,0.0","14.0,0.0,0.0"
1747092146.1755989,"-20.0,0.0,0.0","-6.0,0.0,0.0","8.0,0.0,0.0","13.0,0.0,0.0"
1747092146.2262218,"-17.0,0.0,0.0","-5.0,0.0,0.0","6.0,0.0,0.0","12.0,0.0,0.0"
1747092146.2769377,"-15.0,0.0,0.0","-5.0,0.0,0.0","4.0,0.0,0.0","12.0,0.0,0.0"
1747092146.3274121,"-13.0,0.0,0.0","-5.0,0.0,0.0","2.0,0.0,0.0","11.0,0.0,0.0"
1747092146.377829,"-13.0,0.0,0.0","-5.0,0.0,0.0","1.0,0.0,0.0","11.0,0.0,0.0"
1747092146.4279032,"-13.0,0.0,0.0","-5.0,0.0,0.0","0.0,0.0,0.0","11.0,0.0,0.0"
1747092146.4792624,"-13.0,0.0,0.0","-5.0,0.0,0.0","0.0,0.0,0.0","11.0,0.0,0.0"
1747092146.5302238,"-13.0,0.0,0.0","-5.0,0.0,0.0","1.0,0.0,0.0","11.0,0.0,0.0"
1747092146.581177,"-13.0,0.0,0.0","-5.0,0.0,0.0","2.0,0.0,0.0","13.0,0.0,0.0"
1747092146.6313047,"-14.0,0.0,0.0","-5.0,0.0,0.0","3.0,0.0,0.0","14.0,0.0,0.0"
1747092146.6822886,"-14.0,0.0,0.0","-5.0,0.0,0.0","4.0,0.0,0.0","16.0,0.0,0.0"
1747092146.7324698,"-17.0,0.0,0.0","-6.0,0.0,0.0","16.0,0.0,0.0","28.0,0.0,0.0"
1747092146.783411,"-20.0,0.0,0.0","-7.0,0.0,0.0","31.0,0.0,0.0","38.0,0.0,0.0"
1747092146.8340845,"-22.0,0.0,0.0","-8.0,0.0,0.0","41.0,0.0,0.0","45.0,0.0,0.0"
1747092146.884394,"-23.0,0.0,0.0","-10.0,0.0,0.0","54.0,0.0,0.0","58.0,0.0,0.0"
1747092146.934519,"-24.0,0.0,0.0","-10.0,0.0,0.0","69.0,0.0,0.0","71.0,0.0,0.0"
1747092146.9851193,"-25.0,0.0,0.0","-10.0,0.0,0.0","74.0,0.0,0.0","75.0,0.0,0.0"
1747092147.035149,"-25.0,0.0,0.0","-10.0,0.0,0.0","82.0,0.0,0.0","83.0,0.0,0.0"
1747092147.0851939,"-24.0,0.0,0.0","-9.0,0.0,0.0","87.0,0.0,0.0","88.0,0.0,0.0"
1747092147.1360512,"-24.0,0.0,0.0","-9.0,0.0,0.0","96.0,0.0,0.0","93.0,0.0,0.0"
1747092147.1864166,"-24.0,0.0,0.0","-9.0,0.0,0.0","98.0,0.0,0.0","96.0,0.0,0.0"
1747092147.2386115,"-24.0,0.0,0.0","-9.0,0.0,0.0","101.0,0.0,0.0","98.0,0.0,0.0"
1747092147.2893457,"-24.0,0.0,0.0","-9.0,0.0,0.0","107.0,0.0,0.0","104.0,0.0,0.0"
1747092147.3394027,"-24.0,0.0,0.0","-9.0,0.0,0.0","109.0,0.0,0.0","106.0,0.0,0.0"
1747092147.390028,"-24.0,0.0,0.0","-9.0,0.0,0.0","111.0,0.0,0.0","108.0,0.0,0.0"
1747092147.4419866,"-26.0,0.0,0.0","-12.0,0.0,0.0","116.0,0.0,0.0","113.0,0.0,0.0"
1747092147.49207,"-27.0,0.0,0.0","-15.0,0.0,0.0","118.0,0.0,0.0","116.0,0.0,0.0"
1747092147.5422537,"-28.0,0.0,0.0","-16.0,0.0,0.0","119.0,0.0,0.0","118.0,0.0,0.0"
1747092147.5924027,"-30.0,0.0,0.0","-19.0,0.0,0.0","121.0,0.0,0.0","121.0,0.0,0.0"
1747092147.6431656,"-31.0,0.0,0.0","-19.0,0.0,0.0","122.0,0.0,0.0","122.0,0.0,0.0"
1747092147.6940544,"-31.0,0.0,0.0","-20.0,0.0,0.0","122.0,0.0,0.0","122.0,0.0,0.0"
1747092147.7444015,"-32.0,0.0,0.0","-20.0,0.0,0.0","123.0,0.0,0.0","123.0,0.0,0.0"
1747092147.794437,"-32.0,0.0,0.0","-21.0,0.0,0.0","123.0,0.0,0.0","123.0,0.0,0.0"
1747092147.844649,"-32.0,0.0,0.0","-21.0,0.0,0.0","123.0,0.0,0.0","123.0,0.0,0.0"
1747092147.895482,"-33.0,0.0,0.0","-21.0,0.0,0.0","123.0,0.0,0.0","123.0,0.0,0.0"
1747092147.945825,"-32.0,0.0,0.0","-21.0,0.0,0.0","122.0,0.0,0.0","123.0,0.0,0.0"
