timestamp,l_shoulder,r_shoulder,l_elbow,r_elbow
1747092050.0998008,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.1505823,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.2008536,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.2512968,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.3013208,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.352187,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.4025283,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.4531431,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.5037415,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.5546596,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.6046646,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.654784,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.7047942,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.7549293,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.8050826,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.8556166,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.9056268,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092050.9561455,"-87.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.006158,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.0566728,"-88.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-4.0,0.0,0.0"
1747092051.1066833,"-88.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.1572075,"-88.0,0.0,0.0","-82.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
1747092051.20722,"-88.0,0.0,0.0","-83.0,0.0,0.0","-1.0,0.0,0.0","-3.0,0.0,0.0"
